 Made up file for glass   
 Refractive Index of Medium: 1.000                                             
 1 2 3  = colums for wave, Re(n), Im(n) 
 LAMBDA(um) Re(N)     Im(N)                   
200
 0.20000000 1.51  0.0
 0.20452261 1.51  0.0
 0.20904523 1.51  0.0
 0.21356784 1.51  0.0
 0.21809045 1.51  0.0
 0.22261307 1.51  0.0
 0.22713568 1.51  0.0
 0.23165829 1.51  0.0
 0.23618090 1.51  0.0
 0.24070352 1.51  0.0
 0.24522613 1.51  0.0
 0.24974874 1.51  0.0
 0.25427136 1.51  0.0
 0.25879397 1.51  0.0
 0.26331658 1.51  0.0
 0.26783920 1.51  0.0
 0.27236181 1.51  0.0
 0.27688442 1.51  0.0
 0.28140704 1.51  0.0
 0.28592965 1.51  0.0
 0.29045226 1.51  0.0
 0.29497487 1.51  0.0
 0.29949749 1.51  0.0
 0.30402010 1.51  0.0
 0.30854271 1.51  0.0
 0.31306533 1.51  0.0
 0.31758794 1.51  0.0
 0.32211055 1.51  0.0
 0.32663317 1.51  0.0
 0.33115578 1.51  0.0
 0.33567839 1.51  0.0
 0.34020101 1.51  0.0
 0.34472362 1.51  0.0
 0.34924623 1.51  0.0
 0.35376884 1.51  0.0
 0.35829146 1.51  0.0
 0.36281407 1.51  0.0
 0.36733668 1.51  0.0
 0.37185930 1.51  0.0
 0.37638191 1.51  0.0
 0.38090452 1.51  0.0
 0.38542714 1.51  0.0
 0.38994975 1.51  0.0
 0.39447236 1.51  0.0
 0.39899497 1.51  0.0
 0.40351759 1.51  0.0
 0.40804020 1.51  0.0
 0.41256281 1.51  0.0
 0.41708543 1.51  0.0
 0.42160804 1.51  0.0
 0.42613065 1.51  0.0
 0.43065327 1.51  0.0
 0.43517588 1.51  0.0
 0.43969849 1.51  0.0
 0.44422111 1.51  0.0
 0.44874372 1.51  0.0
 0.45326633 1.51  0.0
 0.45778894 1.51  0.0
 0.46231156 1.51  0.0
 0.46683417 1.51  0.0
 0.47135678 1.51  0.0
 0.47587940 1.51  0.0
 0.48040201 1.51  0.0
 0.48492462 1.51  0.0
 0.48944724 1.51  0.0
 0.49396985 1.51  0.0
 0.49849246 1.51  0.0
 0.50301508 1.51  0.0
 0.50753769 1.51  0.0
 0.51206030 1.51  0.0
 0.51658291 1.51  0.0
 0.52110553 1.51  0.0
 0.52562814 1.51  0.0
 0.53015075 1.51  0.0
 0.53467337 1.51  0.0
 0.53919598 1.51  0.0
 0.54371859 1.51  0.0
 0.54824121 1.51  0.0
 0.55276382 1.51  0.0
 0.55728643 1.51  0.0
 0.56180905 1.51  0.0
 0.56633166 1.51  0.0
 0.57085427 1.51  0.0
 0.57537688 1.51  0.0
 0.57989950 1.51  0.0
 0.58442211 1.51  0.0
 0.58894472 1.51  0.0
 0.59346734 1.51  0.0
 0.59798995 1.51  0.0
 0.60251256 1.51  0.0
 0.60703518 1.51  0.0
 0.61155779 1.51  0.0
 0.61608040 1.51  0.0
 0.62060302 1.51  0.0
 0.62512563 1.51  0.0
 0.62964824 1.51  0.0
 0.63417085 1.51  0.0
 0.63869347 1.51  0.0
 0.64321608 1.51  0.0
 0.64773869 1.51  0.0
 0.65226131 1.51  0.0
 0.65678392 1.51  0.0
 0.66130653 1.51  0.0
 0.66582915 1.51  0.0
 0.67035176 1.51  0.0
 0.67487437 1.51  0.0
 0.67939698 1.51  0.0
 0.68391960 1.51  0.0
 0.68844221 1.51  0.0
 0.69296482 1.51  0.0
 0.69748744 1.51  0.0
 0.70201005 1.51  0.0
 0.70653266 1.51  0.0
 0.71105528 1.51  0.0
 0.71557789 1.51  0.0
 0.72010050 1.51  0.0
 0.72462312 1.51  0.0
 0.72914573 1.51  0.0
 0.73366834 1.51  0.0
 0.73819095 1.51  0.0
 0.74271357 1.51  0.0
 0.74723618 1.51  0.0
 0.75175879 1.51  0.0
 0.75628141 1.51  0.0
 0.76080402 1.51  0.0
 0.76532663 1.51  0.0
 0.76984925 1.51  0.0
 0.77437186 1.51  0.0
 0.77889447 1.51  0.0
 0.78341709 1.51  0.0
 0.78793970 1.51  0.0
 0.79246231 1.51  0.0
 0.79698492 1.51  0.0
 0.80150754 1.51  0.0
 0.80603015 1.51  0.0
 0.81055276 1.51  0.0
 0.81507538 1.51  0.0
 0.81959799 1.51  0.0
 0.82412060 1.51  0.0
 0.82864322 1.51  0.0
 0.83316583 1.51  0.0
 0.83768844 1.51  0.0
 0.84221106 1.51  0.0
 0.84673367 1.51  0.0
 0.85125628 1.51  0.0
 0.85577889 1.51  0.0
 0.86030151 1.51  0.0
 0.86482412 1.51  0.0
 0.86934673 1.51  0.0
 0.87386935 1.51  0.0
 0.87839196 1.51  0.0
 0.88291457 1.51  0.0
 0.88743719 1.51  0.0
 0.89195980 1.51  0.0
 0.89648241 1.51  0.0
 0.90100503 1.51  0.0
 0.90552764 1.51  0.0
 0.91005025 1.51  0.0
 0.91457286 1.51  0.0
 0.91909548 1.51  0.0
 0.92361809 1.51  0.0
 0.92814070 1.51  0.0
 0.93266332 1.51  0.0
 0.93718593 1.51  0.0
 0.94170854 1.51  0.0
 0.94623116 1.51  0.0
 0.95075377 1.51  0.0
 0.95527638 1.51  0.0
 0.95979899 1.51  0.0
 0.96432161 1.51  0.0
 0.96884422 1.51  0.0
 0.97336683 1.51  0.0
 0.97788945 1.51  0.0
 0.98241206 1.51  0.0
 0.98693467 1.51  0.0
 0.99145729 1.51  0.0
 0.99597990 1.51  0.0
 1.00050251 1.51  0.0
 1.00502513 1.51  0.0
 1.00954774 1.51  0.0
 1.01407035 1.51  0.0
 1.01859296 1.51  0.0
 1.02311558 1.51  0.0
 1.02763819 1.51  0.0
 1.03216080 1.51  0.0
 1.03668342 1.51  0.0
 1.04120603 1.51  0.0
 1.04572864 1.51  0.0
 1.05025126 1.51  0.0
 1.05477387 1.51  0.0
 1.05929648 1.51  0.0
 1.06381910 1.51  0.0
 1.06834171 1.51  0.0
 1.07286432 1.51  0.0
 1.07738693 1.51  0.0
 1.08190955 1.51  0.0
 1.08643216 1.51  0.0
 1.09095477 1.51  0.0
 1.09547739 1.51  0.0
 1.10000000 1.51  0.0
